Zip Code,City,State,Representative
35011,Tallapoosa,Alabama,"Mike Rogers"
35013,Blount,Alabama,"Gary J. Palmer"
35014,Talladega,Alabama,"Mike Rogers"
35015,Jefferson,Alabama,"Gary J. Palmer"
35016,Marshall,Alabama,"Robert B. Aderholt, Mo Brooks"
35019,Cullman,Alabama,"Robert B. Aderholt, Mo Brooks"
35020,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35021,Jefferson,Alabama,"Terri A. Sewell"
35022,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35023,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35031,Blount,Alabama,"Robert B. Aderholt, Gary J. Palmer"
35032,Talladega,Alabama,"Mike Rogers"
35033,Cullman,Alabama,"Robert B. Aderholt"
35034,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell"
35035,Bibb,Alabama,"Gary J. Palmer"
35036,Jefferson,Alabama,"Gary J. Palmer"
35038,Walker,Alabama,"Robert B. Aderholt"
35040,Shelby,Alabama,"Gary J. Palmer"
35042,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell"
35043,Shelby,Alabama,"Gary J. Palmer"
35044,Talladega,Alabama,"Mike Rogers"
35045,Chilton,Alabama,"Gary J. Palmer"
35046,Chilton,Alabama,"Gary J. Palmer"
35048,Jefferson,Alabama,"Gary J. Palmer"
35049,Blount,Alabama,"Gary J. Palmer"
35051,Shelby,Alabama,"Gary J. Palmer"
35052,Saint Clair,Alabama,"Mike Rogers"
35053,Cullman,Alabama,"Robert B. Aderholt"
35054,Saint Clair,Alabama,"Mike Rogers"
35055,Cullman,Alabama,"Robert B. Aderholt"
35056,Cullman,Alabama,"Robert B. Aderholt"
35057,Cullman,Alabama,"Robert B. Aderholt"
35058,Cullman,Alabama,"Robert B. Aderholt"
35060,Jefferson,Alabama,"Gary J. Palmer"
35061,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35062,Jefferson,Alabama,"Robert B. Aderholt, Gary J. Palmer"
35063,Walker,Alabama,"Robert B. Aderholt, Gary J. Palmer"
35064,Jefferson,Alabama,"Terri A. Sewell"
35068,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35070,Cullman,Alabama,"Robert B. Aderholt"
35071,Jefferson,Alabama,"Gary J. Palmer"
35072,Coosa,Alabama,"Mike Rogers, Gary J. Palmer"
35073,Jefferson,Alabama,"Gary J. Palmer"
35074,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell"
35077,Cullman,Alabama,"Robert B. Aderholt"
35078,Shelby,Alabama,"Gary J. Palmer"
35079,Blount,Alabama,"Gary J. Palmer"
35080,Shelby,Alabama,"Gary J. Palmer"
35082,Clay,Alabama,"Mike Rogers"
35083,Cullman,Alabama,"Robert B. Aderholt"
35085,Chilton,Alabama,"Gary J. Palmer"
35087,Cullman,Alabama,"Robert B. Aderholt, Mo Brooks"
35089,Coosa,Alabama,"Mike Rogers, Gary J. Palmer"
35091,Jefferson,Alabama,"Gary J. Palmer"
35094,Jefferson,Alabama,"Mike Rogers, Gary J. Palmer"
35096,Talladega,Alabama,"Mike Rogers"
35097,Blount,Alabama,"Gary J. Palmer"
35098,Cullman,Alabama,"Robert B. Aderholt"
35111,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35112,Saint Clair,Alabama,"Mike Rogers"
35114,Shelby,Alabama,"Gary J. Palmer"
35115,Shelby,Alabama,"Gary J. Palmer"
35116,Jefferson,Alabama,"Gary J. Palmer"
35117,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35118,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35119,Jefferson,Alabama,"Gary J. Palmer"
35120,Saint Clair,Alabama,"Mike Rogers"
35121,Blount,Alabama,"Mike Rogers, Robert B. Aderholt, Gary J. Palmer"
35123,Jefferson,Alabama,"Gary J. Palmer"
35124,Shelby,Alabama,"Gary J. Palmer"
35125,Saint Clair,Alabama,"Mike Rogers"
35126,Jefferson,Alabama,"Gary J. Palmer"
35127,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35128,Saint Clair,Alabama,"Mike Rogers, Gary J. Palmer"
35130,Walker,Alabama,"Robert B. Aderholt, Gary J. Palmer"
35131,Saint Clair,Alabama,"Mike Rogers"
35133,Blount,Alabama,"Mike Rogers, Gary J. Palmer"
35135,Saint Clair,Alabama,"Mike Rogers"
35136,Coosa,Alabama,"Gary J. Palmer"
35137,Shelby,Alabama,"Gary J. Palmer"
35139,Jefferson,Alabama,"Gary J. Palmer"
35142,Jefferson,Alabama,"Terri A. Sewell"
35143,Shelby,Alabama,"Gary J. Palmer"
35146,Saint Clair,Alabama,"Mike Rogers, Gary J. Palmer"
35147,Shelby,Alabama,"Gary J. Palmer"
35148,Walker,Alabama,"Robert B. Aderholt, Gary J. Palmer"
35149,Talladega,Alabama,"Mike Rogers"
35150,Talladega,Alabama,"Mike Rogers, Gary J. Palmer"
35151,Talladega,Alabama,"Mike Rogers, Gary J. Palmer"
35160,Talladega,Alabama,"Mike Rogers"
35161,Talladega,Alabama,"Mike Rogers"
35171,Chilton,Alabama,"Gary J. Palmer"
35172,Jefferson,Alabama,"Gary J. Palmer"
35173,Jefferson,Alabama,"Mike Rogers, Gary J. Palmer"
35175,Marshall,Alabama,"Robert B. Aderholt, Mo Brooks"
35176,Shelby,Alabama,"Gary J. Palmer"
35178,Shelby,Alabama,"Mike Rogers, Gary J. Palmer"
35179,Cullman,Alabama,"Robert B. Aderholt, Mo Brooks"
35180,Jefferson,Alabama,"Gary J. Palmer"
35181,Jefferson,Alabama,"Gary J. Palmer"
35182,Saint Clair,Alabama,"Mike Rogers"
35183,Coosa,Alabama,"Gary J. Palmer"
35184,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell"
35185,Shelby,Alabama,"Gary J. Palmer"
35186,Shelby,Alabama,"Gary J. Palmer"
35187,Shelby,Alabama,"Gary J. Palmer"
35188,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell"
35201,Jefferson,Alabama,"Terri A. Sewell"
35202,Jefferson,Alabama,"Terri A. Sewell"
35203,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35204,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35205,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35206,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35207,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35208,Jefferson,Alabama,"Terri A. Sewell"
35209,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35210,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35211,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35212,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35213,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35214,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35215,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35216,Jefferson,Alabama,"Gary J. Palmer"
35217,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35218,Jefferson,Alabama,"Terri A. Sewell"
35219,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35220,Jefferson,Alabama,"Terri A. Sewell"
35221,Jefferson,Alabama,"Terri A. Sewell"
35222,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35223,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35224,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35226,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35228,Jefferson,Alabama,"Terri A. Sewell"
35229,Jefferson,Alabama,"Gary J. Palmer"
35231,Jefferson,Alabama,"Terri A. Sewell"
35232,Jefferson,Alabama,"Terri A. Sewell"
35233,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35234,Jefferson,Alabama,"Terri A. Sewell"
35235,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35236,Jefferson,Alabama,"Gary J. Palmer"
35238,Jefferson,Alabama,"Gary J. Palmer"
35242,Shelby,Alabama,"Gary J. Palmer"
35243,Jefferson,Alabama,"Gary J. Palmer"
35244,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35246,Jefferson,Alabama,"Terri A. Sewell"
35249,Jefferson,Alabama,"Terri A. Sewell"
35253,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35254,Jefferson,Alabama,"Terri A. Sewell"
