Zip Code,City,State,Representative
99748,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99749,Northwest Arctic,Alaska,"Don Young (link is external),"
99750,Northwest Arctic,Alaska,"Don Young (link is external),"
99751,Northwest Arctic,Alaska,"Don Young (link is external),"
99752,Northwest Arctic,Alaska,"Don Young (link is external),"
99753,Nome,Alaska,"Don Young (link is external),"
99754,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99755,Denali,Alaska,"Don Young (link is external),"
99756,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99757,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99758,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99759,North Slope,Alaska,"Don Young (link is external),"
99760,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99761,Northwest Arctic,Alaska,"Don Young (link is external),"
99762,Nome,Alaska,"Don Young (link is external),"
99763,Northwest Arctic,Alaska,"Don Young (link is external),"
99764,Southeast Fairbanks,Alaska,"Don Young (link is external),"
99765,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99766,North Slope,Alaska,"Don Young (link is external),"
99767,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99768,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99769,Nome,Alaska,"Don Young (link is external),"
99770,Northwest Arctic,Alaska,"Don Young (link is external),"
99771,Nome,Alaska,"Don Young (link is external),"
99772,Nome,Alaska,"Don Young (link is external),"
99773,Northwest Arctic,Alaska,"Don Young (link is external),"
99774,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99775,Fairbanks North Star,Alaska,"Don Young (link is external),"
99776,Southeast Fairbanks,Alaska,"Don Young (link is external),"
99777,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99778,Nome,Alaska,"Don Young (link is external),"
99779,Southeast Fairbanks,Alaska,
99780,Southeast Fairbanks,Alaska,"Don Young (link is external),"
99781,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99782,North Slope,Alaska,"Don Young (link is external),"
99783,Nome,Alaska,"Don Young (link is external),"
99784,Nome,Alaska,"Don Young (link is external),"
99785,Nome,Alaska,"Don Young (link is external),"
99786,Northwest Arctic,Alaska,"Don Young (link is external),"
99788,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99789,North Slope,Alaska,"Don Young (link is external),"
99790,Fairbanks North Star,Alaska,"Don Young (link is external),"
99791,North Slope,Alaska,"Don Young (link is external),"
99801,Juneau,Alaska,"Don Young (link is external),"
99802,Juneau,Alaska,"Don Young (link is external),"
99803,Juneau,Alaska,"Don Young (link is external),"
99811,Juneau,Alaska,"Don Young (link is external),"
99812,Juneau,Alaska,"Don Young (link is external),"
99820,Skagway Hoonah Angoon,Alaska,"Don Young (link is external),"
99821,Juneau,Alaska,"Don Young (link is external),"
99824,Juneau,Alaska,"Don Young (link is external),"
99825,Skagway Hoonah Angoon,Alaska,"Don Young (link is external),"
99826,Skagway Hoonah Angoon,Alaska,"Don Young (link is external),"
99827,Haines,Alaska,"Don Young (link is external),"
99829,Skagway Hoonah Angoon,Alaska,"Don Young (link is external),"
99830,Wrangell Petersburg,Alaska,"Don Young (link is external),"
99832,Skagway Hoonah Angoon,Alaska,"Don Young (link is external),"
99833,Wrangell Petersburg,Alaska,"Don Young (link is external),"
99835,Sitka,Alaska,"Don Young (link is external),"
99836,Wrangell Petersburg,Alaska,"Don Young (link is external),"
99840,Skagway Hoonah Angoon,Alaska,"Don Young (link is external),"
99841,Skagway Hoonah Angoon,Alaska,"Don Young (link is external),"
99850,Juneau,Alaska,"Don Young (link is external),"
99901,Ketchikan Gateway,Alaska,"Don Young (link is external),"
99903,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99918,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99919,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99921,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99922,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99923,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99925,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99926,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99927,Prince Wales Ketchikan,Alaska,"Don Young (link is external),"
99928,Ketchikan Gateway,Alaska,"Don Young (link is external),"
99929,Wrangell Petersburg,Alaska,"Don Young (link is external),"
99950,Ketchikan Gateway,Alaska,"Don Young (link is external),"
35004,Saint Clair,Alabama,"Mike Rogers (link is external),"
35005,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35006,Jefferson,Alabama,"Robert B. Aderholt, Gary J. Palmer, Terri A. Sewell,"
35007,Shelby,Alabama,"Gary J. Palmer (link is external),"
35010,Tallapoosa,Alabama,"Martha Roby, Mike Rogers, Gary J. Palmer,"
35011,Tallapoosa,Alabama,"Mike Rogers (link is external),"
35013,Blount,Alabama,"Gary J. Palmer (link is external),"
35014,Talladega,Alabama,"Mike Rogers (link is external),"
35015,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35016,Marshall,Alabama,"Robert B. Aderholt, Mo Brooks,"
35019,Cullman,Alabama,"Robert B. Aderholt, Mo Brooks,"
35020,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35021,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35022,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35023,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35031,Blount,Alabama,"Robert B. Aderholt, Gary J. Palmer,"
35032,Talladega,Alabama,"Mike Rogers (link is external),"
35033,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35034,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35035,Bibb,Alabama,"Gary J. Palmer (link is external),"
35036,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35038,Walker,Alabama,"Robert B. Aderholt (link is external),"
35040,Shelby,Alabama,"Gary J. Palmer (link is external),"
35041,Jefferson,Alabama,
35042,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35043,Shelby,Alabama,"Gary J. Palmer (link is external),"
35044,Talladega,Alabama,"Mike Rogers (link is external),"
35045,Chilton,Alabama,"Gary J. Palmer (link is external),"
35046,Chilton,Alabama,"Gary J. Palmer (link is external),"
35048,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35049,Blount,Alabama,"Gary J. Palmer (link is external),"
35051,Shelby,Alabama,"Gary J. Palmer (link is external),"
35052,Saint Clair,Alabama,"Mike Rogers (link is external),"
35053,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35054,Saint Clair,Alabama,"Mike Rogers (link is external),"
35055,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35056,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35057,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35058,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35060,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35061,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35062,Jefferson,Alabama,"Robert B. Aderholt, Gary J. Palmer,"
35063,Walker,Alabama,"Robert B. Aderholt, Gary J. Palmer,"
35064,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35068,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35070,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35071,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35072,Coosa,Alabama,"Mike Rogers, Gary J. Palmer,"
35073,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35074,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35077,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35078,Shelby,Alabama,"Gary J. Palmer (link is external),"
35079,Blount,Alabama,"Gary J. Palmer (link is external),"
35080,Shelby,Alabama,"Gary J. Palmer (link is external),"
35082,Clay,Alabama,"Mike Rogers (link is external),"
35083,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35085,Chilton,Alabama,"Gary J. Palmer (link is external),"
35087,Cullman,Alabama,"Robert B. Aderholt, Mo Brooks,"
35089,Coosa,Alabama,"Mike Rogers, Gary J. Palmer,"
35091,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35094,Jefferson,Alabama,"Mike Rogers, Gary J. Palmer,"
35096,Talladega,Alabama,"Mike Rogers (link is external),"
35097,Blount,Alabama,"Gary J. Palmer (link is external),"
35098,Cullman,Alabama,"Robert B. Aderholt (link is external),"
35111,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35112,Saint Clair,Alabama,"Mike Rogers (link is external),"
35114,Shelby,Alabama,"Gary J. Palmer (link is external),"
35115,Shelby,Alabama,"Gary J. Palmer (link is external),"
35116,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35117,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35118,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35119,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35120,Saint Clair,Alabama,"Mike Rogers (link is external),"
35121,Blount,Alabama,"Mike Rogers, Robert B. Aderholt, Gary J. Palmer,"
35123,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35124,Shelby,Alabama,"Gary J. Palmer (link is external),"
35125,Saint Clair,Alabama,"Mike Rogers (link is external),"
35126,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35127,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35128,Saint Clair,Alabama,"Mike Rogers, Gary J. Palmer,"
35130,Walker,Alabama,"Robert B. Aderholt, Gary J. Palmer,"
35131,Saint Clair,Alabama,"Mike Rogers (link is external),"
35133,Blount,Alabama,"Mike Rogers, Gary J. Palmer,"
35135,Saint Clair,Alabama,"Mike Rogers (link is external),"
35136,Coosa,Alabama,"Gary J. Palmer (link is external),"
35137,Shelby,Alabama,"Gary J. Palmer (link is external),"
35139,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35142,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35143,Shelby,Alabama,"Gary J. Palmer (link is external),"
35144,Shelby,Alabama,
35146,Saint Clair,Alabama,"Mike Rogers, Gary J. Palmer,"
35147,Shelby,Alabama,"Gary J. Palmer (link is external),"
35148,Walker,Alabama,"Robert B. Aderholt, Gary J. Palmer,"
35149,Talladega,Alabama,"Mike Rogers (link is external),"
35150,Talladega,Alabama,"Mike Rogers, Gary J. Palmer,"
35151,Talladega,Alabama,"Mike Rogers, Gary J. Palmer,"
35160,Talladega,Alabama,"Mike Rogers (link is external),"
35161,Talladega,Alabama,"Mike Rogers (link is external),"
35171,Chilton,Alabama,"Gary J. Palmer (link is external),"
35172,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35173,Jefferson,Alabama,"Mike Rogers, Gary J. Palmer,"
35175,Marshall,Alabama,"Robert B. Aderholt, Mo Brooks,"
35176,Shelby,Alabama,"Gary J. Palmer (link is external),"
35178,Shelby,Alabama,"Mike Rogers, Gary J. Palmer,"
35179,Cullman,Alabama,"Robert B. Aderholt, Mo Brooks,"
35180,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35181,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35182,Saint Clair,Alabama,"Mike Rogers (link is external),"
35183,Coosa,Alabama,"Gary J. Palmer (link is external),"
35184,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35185,Shelby,Alabama,"Gary J. Palmer (link is external),"
35186,Shelby,Alabama,"Gary J. Palmer (link is external),"
35187,Shelby,Alabama,"Gary J. Palmer (link is external),"
35188,Bibb,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35201,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35202,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35203,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35204,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35205,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35206,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35207,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35208,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35209,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35210,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35211,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35212,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35213,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35214,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35215,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35216,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35217,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35218,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35219,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35220,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35221,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35222,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35223,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35224,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35225,Jefferson,Alabama,
35226,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35228,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35229,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35230,Jefferson,Alabama,
35231,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35232,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35233,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35234,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35235,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35236,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35237,Jefferson,Alabama,
35238,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35240,Jefferson,Alabama,
35242,Shelby,Alabama,"Gary J. Palmer (link is external),"
35243,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35244,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35245,Jefferson,Alabama,
35246,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35249,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35253,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell,"
35254,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35255,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35259,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35260,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35261,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35263,Jefferson,Alabama,
35266,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35277,Jefferson,Alabama,
35278,Jefferson,Alabama,
35279,Jefferson,Alabama,
35280,Jefferson,Alabama,
35281,Jefferson,Alabama,
35282,Jefferson,Alabama,
35283,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35285,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35286,Jefferson,Alabama,
35287,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35288,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35289,Jefferson,Alabama,
35290,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35291,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35292,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35293,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35294,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35295,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35296,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35297,Jefferson,Alabama,"Gary J. Palmer (link is external),"
35298,Jefferson,Alabama,"Terri A. Sewell (link is external),"
35299,Jefferson,Alabama,
35401,Tuscaloosa,Alabama,"Robert B. Aderholt, Terri A. Sewell,"
35402,Tuscaloosa,Alabama,"Terri A. Sewell (link is external),"
35403,Tuscaloosa,Alabama,"Terri A. Sewell (link is external),"
35404,Tuscaloosa,Alabama,"Robert B. Aderholt, Terri A. Sewell,"
35405,Tuscaloosa,Alabama,"Terri A. Sewell (link is external),"
35406,Tuscaloosa,Alabama,"Robert B. Aderholt, Terri A. Sewell,"
35407,Tuscaloosa,Alabama,"Terri A. Sewell (link is external),"
35440,Tuscaloosa,Alabama,"Terri A. Sewell (link is external),"
35441,Hale,Alabama,"Terri A. Sewell (link is external),"
35442,Pickens,Alabama,"Terri A. Sewell (link is external),"
35443,Greene,Alabama,"Terri A. Sewell (link is external),"
35444,Tuscaloosa,Alabama,"Robert B. Aderholt, Gary J. Palmer, Terri A. Sewell,"
